Question,Answer,Card Type,Source File
"From what Greek word does the word ""economy"" originate?","The Greek word for ""one who manages a household.""",qa,examples/Microeconomics.pdf
"The word economy comes from the Greek word for ""{{c1::one who manages a household}}"".",one who manages a household,cloze,examples/Microeconomics.pdf
What fundamental task must a household perform regarding its resources?,It must allocate its scarce resources among its various members.,qa,examples/Microeconomics.pdf
"Like a household, a society must decide what jobs will be done and {{c1::who will do them}}.",who will do them,cloze,examples/Microeconomics.pdf
What is the definition of scarcity?,Scarcity means that society has limited resources and therefore cannot produce all the goods and services people wish to have.,qa,examples/Microeconomics.pdf
{{c1::Scarcity}} means that society has limited resources and therefore cannot produce all the goods and services people wish to have.,Scarcity,cloze,examples/Microeconomics.pdf
What is economics?,Economics is the study of how society manages its scarce resources.,qa,examples/Microeconomics.pdf
{{c1::Economics}} is the study of how society manages its scarce resources.,Economics,cloze,examples/Microeconomics.pdf
How are resources typically allocated in most societies?,"Through the combined actions of millions of households and firms, rather than by a single central planner.",qa,examples/Microeconomics.pdf
What do economists study regarding how people make decisions?,"How much people work, what they buy, how much they save, and how they invest their savings.",qa,examples/Microeconomics.pdf
"Economists study how people interact with one another, for instance, how buyers and sellers determine the {{c1::price}} and {{c1::quantity}} of a good.",price; quantity,cloze,examples/Microeconomics.pdf
What forces and trends do economists analyze that affect the economy as a whole?,"The growth in average income, the fraction of the population that cannot find work, and the rate at which prices are rising.",qa,examples/Microeconomics.pdf
What is the first principle of individual decision-making in economics?,People Face Tradeoffs,qa,examples/Microeconomics.pdf
"The first lesson about making decisions is summarized in the adage: ""{{c1::There is no such thing as a free lunch}}"".",There is no such thing as a free lunch,cloze,examples/Microeconomics.pdf
Making decisions requires trading off {{c1::one goal against another}}.,one goal against another,cloze,examples/Microeconomics.pdf
What is a classic societal tradeoff mentioned in economics?,"""Guns and butter,"" referring to spending on national defense versus consumer goods.",qa,examples/Microeconomics.pdf
"A classic societal tradeoff is between ""{{c1::guns and butter}}"".",guns and butter,cloze,examples/Microeconomics.pdf
What is an important modern societal tradeoff related to the environment?,The tradeoff between a clean environment and a high level of income.,qa,examples/Microeconomics.pdf
"Pollution regulations provide the benefit of a cleaner environment but have the cost of reducing the incomes of {{c1::firms' owners}}, {{c1::workers}}, and {{c1::customers}}.",firms' owners; workers; customers,cloze,examples/Microeconomics.pdf
What are the two main goals that often conflict when government policies are designed?,Efficiency and Equity.,qa,examples/Microeconomics.pdf
What does efficiency mean in economics?,Efficiency means that society is getting the most it can from its scarce resources.,qa,examples/Microeconomics.pdf
{{c1::Efficiency}} is the property of society getting the most it can from its scarce resources.,Efficiency,cloze,examples/Microeconomics.pdf
What does equity mean in economics?,Equity means that the benefits of those resources are distributed fairly among society’s members.,qa,examples/Microeconomics.pdf
{{c1::Equity}} is the property of distributing economic prosperity fairly among the members of society.,Equity,cloze,examples/Microeconomics.pdf
"In the analogy of an economic pie, efficiency refers to the {{c1::size of the economic pie}}, and equity refers to {{c1::how the pie is divided}}.",size of the economic pie; how the pie is divided,cloze,examples/Microeconomics.pdf
How can government policies aimed at achieving greater equity (like welfare or income tax) reduce efficiency?,"By reducing the reward for working hard, which causes people to work less and produce fewer goods and services.",qa,examples/Microeconomics.pdf
"When the government tries to cut the economic pie into more equal slices, the pie often gets {{c1::smaller}}.",smaller,cloze,examples/Microeconomics.pdf
Why is acknowledging life's tradeoffs important?,Because people are likely to make good decisions only if they understand the options they have available.,qa,examples/Microeconomics.pdf
What is the second principle of individual decision-making in economics?,The Cost of Something Is What You Give Up to Get It.,qa,examples/Microeconomics.pdf
Making decisions requires comparing the {{c1::costs}} and {{c1::benefits}} of alternative courses of action.,costs; benefits,cloze,examples/Microeconomics.pdf
"When considering the cost of college, why are room and board not always true costs?",Because you would need a place to sleep and food to eat even if you didn't go to college. They are only costs to the extent they are more expensive at college.,qa,examples/Microeconomics.pdf
